name,mhy_id,story,material,icon,introduction,refine,weapon_type,rarity,attr_add,getting,label
黑缨枪,134, 某夜，持白缨枪的士官与诗人相遇共饮，于觥筹交错之际，诗人不意打翻了砚台。就这样，豪侠枪上白缨被染成了墨黑色。「当然，这只是武人与诗人之间的轶事」「与我手头这支黑缨长枪无甚关联」老铁匠在学徒脑袋上拍了一掌，命他把一束新的白缨浸入墨漆。,"['漆黑陨铁的一粒*2', '漆黑陨铁的一片*6', '漆黑陨铁的一角*6', '漆黑陨铁的一块*3', '脆弱的骨片*10', '结实的骨片*12', '石化的骨片*18', '牢固的箭簇*6', '锐利的箭簇*10', '历战的箭簇*12', '精锻用魔矿*399']",https://uploadstatic.mihoyo.com/ys-obc/2020/03/19/75833613/abfa4d0c2ac36f7e59d892ad6a929316_7872280644216449533.png,阶克柔 , 精炼(1/2/3/4/5) 对史莱姆类敌人造成的伤害增加(40%/50%/60%/70%/80%)。解决了白缨容易弄脏问题的绝世好枪。 ,长柄武器,三星,生命值,祈愿,weapon
讨龙英杰谭,137, 五英雄启程，踏上讨伐魔龙之路。擅长使剑的骑士，他是为了荣誉；手不释卷的法师，她是为了研究；刀舞如风的佣兵，他是为了赏金；百步穿杨的弓手，她是为了寻仇。还有博闻强记的作家，为了故事。我口吐白莲，妙笔生花。文章：冰雪聪明；思想：雷霆精锐。我加入队伍其实是因为找不到工作。是人都能胜任文案一职。其实我也不是作家，只是个二十过半没有正经工作的年轻人。,"['凛风奔狼的始龀*2', '凛风奔狼的裂齿*6', '凛风奔狼的断牙*6', '凛风奔狼的怀乡*3', '地脉的旧枝*10', '地脉的枯叶*12', '地脉的新芽*18', '导能绘卷*6', '封魔绘卷*10', '禁咒绘卷*12', '精锻用魔矿*399']",https://uploadstatic.mihoyo.com/ys-obc/2020/03/19/75833613/960be0723a8299db9ccb6a02f74e8e2e_8743657917550828069.png,阶传承：, 精炼(1/2/3/4/5) 主动切换角色时，新登场的角色攻击力提升(24%/30%/36%/42%/48%)，持续10秒。该效果每20秒只能触发一次。五名英雄踏上屠龙征途的虚构故事。文笔很差，结构散乱。失败的教训是这本书所拥有的伟大力量。 ,法器,三星,生命值、攻击力,祈愿,weapon
弹弓,138, 从前有一个想要改进弹弓射程和精准度的人。他发现：如果提高弹弓的力道以提升射程，那弹道就会偏离。于是他将弹弓的弹子改成木制的长杆，后面加上适应气流的鸟羽。为了新的弹子又将弹弓的把手去除，将弓弭加长反曲以加强拉力。最后他发现自己做了一把弓。,"['孤云寒林的光砂*2', '孤云寒林的辉岩*6', '孤云寒林的圣骸*6', '孤云寒林的神体*3', '猎兵祭刀*10', '特工祭刀*12', '督察长祭刀*18', '破损的面具*6', '污秽的面具*10', '不祥的面具*12', '精锻用魔矿*399']",https://uploadstatic.mihoyo.com/ys-obc/2020/03/19/75833613/aac8d2ff61512cad048858d2b40385c4_1738541205265285960.png,阶弹弓 , 精炼(1/2/3/4/5) 普通攻击与重击的箭矢若在发射后的0.3秒内击中敌人，则造成的伤害增加(36%/42%/48%/54%/60%)；否则，造成的伤害下降10%。其实就是一把弓。在无数的改进和实验中，发明出究极弹弓的人发现自己做了一把弓。 ,弓,三星,暴击率,祈愿,weapon
鸦羽弓,139, 相传渡鸦是报死的使者。若将鸦羽装饰在弓臂上，振弦之声想必会为猎物宣告死期。至少，那些武器商人是这么说的。,"['高塔孤王的破瓦*2', '高塔孤王的残垣*6', '高塔孤王的断片*6', '高塔孤王的碎梦*3', '沉重号角*10', '黑铜号角*12', '黑晶号角*18', '牢固的箭簇*6', '锐利的箭簇*10', '历战的箭簇*12', '精锻用魔矿*399']",https://uploadstatic.mihoyo.com/ys-obc/2020/03/19/75833613/3624d7d0a0ef89d91cb1166bac6d5518_603388374697378447.png,阶踏火止水 , 精炼(1/2/3/4/5) 对处于水元素或火元素影响下的敌人，造成的伤害提高(12%/15%/18%/21%/24%)。相传渡鸦是死的使者。将鸦羽装饰在弓臂上，射出的每一箭都宣告着猎物的终末。 ,弓,三星,元素精通,祈愿,weapon
匣里龙吟,141, 在璃月坊间流传的宝刀。据说它的刀鞘以沉香为基，饰以云母，雕有战争传说的图景。价值连城的刀鞘已经遗失了。对于这把刀来说，刀鞘是禁锢它，不让它做应做之事的枷锁。锐利无比，据说被刺中的人要过一个时辰才会发现自己已死。传说昆吾仅花了一日一夜，便打成了这柄锐利的宝刀。但年迈的师父眼见高徒之作，却扼腕兴嗟，以杖击地。「惜哉，唯此物最欠慈悲」老人喟然长叹，蹒跚离去。于是，昆吾沉思三日，其间不触碰任何刀剑。又用一年的时光，精心雕琢出一个沉香木匣。年轻的昆吾自以为，这华丽的刀鞘定能约束不羁的宝刀。但后来，宝刀失入民间。锋刃犹在，刀鞘却化作了传说。锋利的刀永远渴求连天的血光。再好的匣也无法拘束它。,"['孤云寒林的光砂*3', '孤云寒林的辉岩*9', '孤云寒林的圣骸*9', '孤云寒林的神体*4', '猎兵祭刀*15', '特工祭刀*18', '督察长祭刀*27', '寻宝鸦印*10', '藏银鸦印*15', '攫金鸦印*18', '精锻用魔矿*605']",https://uploadstatic.mihoyo.com/ys-obc/2020/03/19/75833613/157123aec9296f06c27def671ac923b1_3170648805240315119.png,阶踏火息雷 , 精炼(1/2/3/4/5) 对处于火元素或雷元素影响下的敌人，造成的伤害提高(20%/24%/28%/32%/36%)。雕饰浮华的利刃，却丝毫不损它的柔韧与锋锐。破空之声有如龙吟。 ,单手剑,四星,攻击力,祈愿,weapon
口袋魔导书,142, 在学徒当中流行的魔导辅导书，可以装在口袋里的尺寸。略去了教科书中冗长的原理与习题，只留下会考的内容。目前因为《魔导绪论》第十二版的改动而变得不合时宜。,"['高塔孤王的破瓦*1', '高塔孤王的残垣*4', '高塔孤王的断片*1', '沉重号角*6', '黑铜号角*8', '破损的面具*5', '污秽的面具*7', '精锻用魔矿*108']",https://uploadstatic.mihoyo.com/ys-obc/2020/03/19/75833613/877be88d4393febf2eebf0d0842991b1_5203967974566406481.png,暂无, 精心编纂，只留下考试重点的魔导参考小册。 ,法器,二星,暂无,宝箱、商店,weapon
历练的猎弓,143, 猎手要永远处于下风处;避免直立行走在山脊上。无论狩猎的对象是野兽，是魔物或是恶人都一样。,"['凛风奔狼的始龀*1', '凛风奔狼的裂齿*4', '凛风奔狼的断牙*1', '地脉的旧枝*6', '地脉的枯叶*8', '寻宝鸦印*5', '藏银鸦印*7', '精锻用魔矿*108']",https://uploadstatic.mihoyo.com/ys-obc/2020/03/19/75833613/bda299007ed693390a7629dec62ad9c8_4027560520984292648.png,暂无, 饱经磨炼又精心护养的弓，经历了漫长的岁月。仿佛会主动配合射手的动作一般好使。 ,弓,二星,暂无,宝箱、商店,weapon
试作古华,144, 产自璃月兵工厂的古老巨剑。批号不明，相关典籍上也未记录它的成品时间。稀矿为柄精钢为刃，刀身重达数十斤，挥舞唯见华光流转，有吞云闭月之势。灾厄之后，为突破兵器设计的桎梏，锻造世家云氏与名匠寒武主导了璃月的第一次兵器工艺变革。名为「试作」的新兵器谱就此诞生。依此制成的第一把「试作」大剑。有着相当罕见的古朴色泽。黑金点褐，锋芒内敛。乍看若凡刀无异，伸手试才知它重而不沉。锻造此刀的工匠寒武连夜赶往北地，将它赠予一位侠客好友。侠客细细看过，持刀一挥，林中翠（姆）竹尽断。舞刀时风声猎猎，是百年难遇的奇观。游侠告诉寒武:此刀古色典雅，宜动宜静。如此大中有细的佳品，不妨唤之「古华」。此种气度成为了日后璃月千柄重剑的规范。,"['漆黑陨铁的一粒*3', '漆黑陨铁的一片*9', '漆黑陨铁的一角*9', '漆黑陨铁的一块*4', '脆弱的骨片*15', '结实的骨片*18', '石化的骨片*27', '破损的面具*10', '污秽的面具*15', '不祥的面具*18', '精锻用魔矿*605']",https://uploadstatic.mihoyo.com/ys-obc/2020/03/19/75833613/8f971bf97933800f22eeb1d1afeec757_5656486488252227606.png,阶粉碎 , 精炼(1/2/3/4/5) 普通攻击和重击命中时，有50%的概率对小范围内的敌人造成(240%/300%/360%/420%/480%)攻击力的额外伤害。该效果每15秒只能触发一次。黑岩厂中秘藏的古老大刀。挥舞时，仿佛连空间本身也要被一刀两断。 ,双手剑,四星,攻击力,锻造,weapon
佣兵重剑,158, 他总会提起自己年轻时的冒险经历，都是令人生厌的老掉牙的夸张故事。但这把老旧的大剑似乎在无声地说，「是有点夸张没错。但当时我也在」,"['凛风奔狼的始龀*1', '凛风奔狼的裂齿*4', '凛风奔狼的断牙*1', '地脉的旧枝*6', '地脉的枯叶*8', '史莱姆凝液*5', '史莱姆清*7', '精锻用魔矿*108']",https://uploadstatic.mihoyo.com/ys-obc/2020/03/20/75833613/478f9e83909a2bf2545d7f70d765b788_5488112487273325804.png,暂无, 沉重坚实的古旧大剑，饱经战火与岁月的洗练。 ,双手剑,二星,暂无,宝箱、商店,weapon
铁尖枪,160, 散发着些许威严感的简陋兵器。对于有着应当守护的事物的人，或是除却己身一无所有的旅者，再简陋的武器都能发挥十倍的力量吧。,"['狮牙斗士的枷锁*1', '狮牙斗士的铁链*4', '狮牙斗士的镣铐*1', '混沌装置*6', '混沌回路*8', '导能绘卷*5', '封魔绘卷*7', '精锻用魔矿*108']",https://uploadstatic.mihoyo.com/ys-obc/2020/03/20/75833613/6189a5177288ec1a426710bfcb41885b_1406125984012296163.png,暂无, 一头有尖，可攻可守的护身武器。在旅者当中十分流行。 ,长柄武器,二星,暂无,宝箱、商店,weapon
冷刃,161, 折叠多次锻打而成的坚韧钢材，色泽暗淡，闪烁着冰冷的光泽。曾属于著名冒险家。见识过大地的广袤深邃，斩断过魔物的钢骨，也曾与贼匪的刀剑相交。但在最后，为了少女，他放弃了广袤的大地、深邃的天，协会的同伴，以及冰冷钢铁锻铸的可靠老友。,"['高塔孤王的破瓦*2', '高塔孤王的残垣*6', '高塔孤王的断片*6', '高塔孤王的碎梦*3', '沉重号角*10', '黑铜号角*12', '黑晶号角*18', '牢固的箭簇*6', '锐利的箭簇*10', '历战的箭簇*12', '精锻用魔矿*399']",https://uploadstatic.mihoyo.com/ys-obc/2020/03/20/75833613/24bdaea5978d2634d74dad47442d6122_9127538621522062301.png,阶止水融冰 , 精炼(1/2/3/4/5) 对处于水元素或冰元素影响下的敌人，造成的伤害提高(12%/15%/18%/21%/24%)。多层锻打的精钢铸就的可靠兵器，曾见证旧主诸多冒险奇谭。 ,单手剑,三星,攻击力,祈愿,weapon
魔导绪论,162, 本版《魔导绪论》在发行之初便引起了很大争议。且不论《第七章：风元素运用原理》与常识相悖，有关水元素与雷元素的基础性内容更是错漏甚多。显然该书在定稿前并未经过同行申阅，遑论试行。但无论如何，它还是当今最权威的魔导入门指南。,"['高塔孤王的破瓦*2', '高塔孤王的残垣*6', '高塔孤王的断片*6', '高塔孤王的碎梦*3', '沉重号角*10', '黑铜号角*12', '黑晶号角*18', '史莱姆凝液*6', '史莱姆清*10', '史莱姆原浆*12', '精锻用魔矿*399']",https://uploadstatic.mihoyo.com/ys-obc/2020/03/20/75833613/c154d6129fabcfd551b6f33b88d06d37_8283966138624579260.png,阶止水息雷 , 精炼(1/2/3/4/5) 对处于水元素或雷元素影响下的敌人，造成的伤害提高(12%/15%/18%/21%/24%)。第十二版。结合时代发展加注了新内容，并修订了第十一版的错别字。 ,法器,三星,元素精通,祈愿,weapon
黎明神剑,164, 这把剑拥有一个更响亮的全名：「斩开黎明指向胜利的拂晓神剑」。但在战场上，仅有一人因它倒下：是夜，他拔出宝剑高喊胜利之名，刹时漆黑的夜幕被映得明如白昼。因为闪亮，此公成了显眼的目标，如金属引雷般招来了如雨的箭矢。,"['凛风奔狼的始龀*2', '凛风奔狼的裂齿*6', '凛风奔狼的断牙*6', '凛风奔狼的怀乡*3', '地脉的旧枝*10', '地脉的枯叶*12', '地脉的新芽*18', '史莱姆凝液*6', '史莱姆清*10', '史莱姆原浆*12', '精锻用魔矿*399']",https://uploadstatic.mihoyo.com/ys-obc/2020/03/20/75833613/471586149ecedabc50df80a71c1a4e13_7638998658566853121.png,阶激励 , 精炼(1/2/3/4/5) 生命值高于90%时，暴击率提升(14%/17.5%/21%/24.5%/28%)。一把曾经耀若朝阳的宝剑，掌握它的人会获得「自我感觉良好」的力量加持。剑身上的发光材料已经褪去。 ,单手剑,三星,暴击伤害、暴击率,祈愿,weapon
暗铁剑,165, 「为什么叔叔要把剑，放在地上呢？」「为了把剑晒黑啊。」「为什么要把剑晒黑呀？」「很好的问题。小朋友，什么是黑的呢？」「乌鸦？」「没错!还有呢？」「嗯……铁锅？」「很好的思路！那铁锅下面是什么呢？」「火！」「火是哪来的呢？」小姑娘想了想，恍然大悟。「木炭！是木炭！木炭是黑的！」「没错，而碳正是让钢铁变得更硬更强的物质。这就是为什么叔叔要晒剑。」说完，叔叔把剑翻了一面。,"['孤云寒林的光砂*2', '孤云寒林的辉岩*6', '孤云寒林的圣骸*6', '孤云寒林的神体*3', '猎兵祭刀*10', '特工祭刀*12', '督察长祭刀*18', '破损的面具*6', '污秽的面具*10', '不祥的面具*12', '精锻用魔矿*399']",https://uploadstatic.mihoyo.com/ys-obc/2020/03/21/75833613/fb3ff7f236246073f2f508f1f774a9ab_3182158376215763089.png,阶过载 , 精炼(1/2) 触发超载、超导、感电、原激化、超激化、超绽放或雷元素扩散反应后的12秒内，攻击力提高(20%/25%)。其实就是稍微有些黑的铁剑。 ,单手剑,三星,元素精通、攻击力,暂无,weapon
神射手之誓,167, 传说中，那是在遥远的过去发生的事情。那是远古的悲剧，兄弟操使兵器，互相讨伐。当中，有一名伟大弓手受辱，因此许下毒誓：在诛杀大敌之前，在飞簇洞穿仇敌的咽喉前，在仇人那可憎的血液放干之前，绝对不洗脚。传说中，此人最终因为脚气感染倒下了。,"['凛风奔狼的始龀*2', '凛风奔狼的裂齿*6', '凛风奔狼的断牙*6', '凛风奔狼的怀乡*3', '地脉的旧枝*10', '地脉的枯叶*12', '地脉的新芽*18', '史莱姆凝液*6', '史莱姆清*10', '史莱姆原浆*12', '精锻用魔矿*399']",https://uploadstatic.mihoyo.com/ys-obc/2020/03/20/75833613/8ec0ab79c3a2e30828331e0d53428fec_5600004519324126064.png,阶精准 , 精炼(1/2/3/4/5) 针对要害造成的伤害提升(24%/30%/36%/42%/48%)。据说曾属于技艺高强的射手，是一把上好的弓。因为散发出强烈的气息，难以用于狩猎。 ,弓,三星,暴击伤害,祈愿,weapon
匣里灭辰,171, 在璃月坊间流传的长枪。自枪柄盘旋而上的龙雕饰盘旋在枪穗处。据说原本有收纳枪尖的龙形木匣。如此，长枪出鞘便以龙灭龙。如今无匣，它的锋芒再也不必收敛。无论什么灾厄横在它前方，都能以流星之势穿透。传说昆吾在打制这柄长枪时，曾经以龙脊为骨，龙爪为锋。故而枪体坚韧不折，枪首锋锐无比，寒光中带着龙的戾气。曾有屠龙之士勇壮非凡，秉此枪叱咤大洋，鏖战海中魔物。多年以后，屠龙英雄无踪可觅，海上徒然回荡着龙吟之声。英雄已然成为了街巷间的传说，灭龙的长枪也随着传说失落，一朝内失去了来自过去的束缚，便如龙归大海一般尽显锋芒。,"['雾海云间的铅丹*3', '雾海云间的汞丹*9', '雾海云间的金丹*9', '雾海云间的转还*4', '雾虚花粉*15', '雾虚草囊*18', '雾虚灯芯*27', '导能绘卷*10', '封魔绘卷*15', '禁咒绘卷*18', '精锻用魔矿*605']",https://uploadstatic.mihoyo.com/ys-obc/2020/03/22/75833613/b753959a45fc9989e39dd945e8769e4a_6217077251181025856.png,阶踏火止水 , 精炼(1/2/3/4/5) 对处于水元素或火元素影响下的敌人，造成的伤害提高(20%/24%/28%/32%/36%)。金龙缠绕的长枪，轻快锐利无比。大抵真能轻易屠龙。 ,长柄武器,四星,元素精通,祈愿,weapon
黑岩刺枪,172, 由十分罕见的黑岩制成的刺枪，挥如疾电，能破空裂风。枪头枪身均以黑色结晶制成，镶嵌红玉装饰。对着月色，隐隐能看见枪中流转的血色光芒。璃月名匠寒武与发妻育有一子，取名为策，盼他心有良策，手有巧策，能为父亲传承铸剑锻刀的家业。然而，策志不在此。读私塾时成天以游侠闲书话本为消遣，闲时练枪于山间野地，一心只想仗枪行侠。寻天外陨铁，不求稀材求奇遇。访灵山谪仙，不图真知图逸闻。对于烧炉打铁，策丝毫提不起劲来。不论如何斥骂仍无用处，最终仅是令痴儿浪子某日不辞而别尔尔。寒武晚年遭遇矿难，性情大变。寒策听闻此事，连夜返乡探望父亲。原本健谈的寒武变得十分寡言，对无心接替家业的儿子也不再责备。至此年，父子关系反倒亲近不少。寒策心有愧意，却不知如何是好。又是数年，一代名匠仙逝。寒策依父亲遗言在书房中找到一套兵器谱，正是坊间传奇的「试作」系列。图谱封存与一方木匣之中，另附家书：「吾儿策，天地浩大，可纵情观赏」整本图谱上满是父亲写下的批注，寒策观之痛心，在书房端坐一整夜。拂晓时分，寒策推门而出，不料天上有流星滑落，笔直砸落寒家门前。寒策百感交集，又哭又笑，连声道：天意！便以漆黑陨铁为底，参照图谱，加上先父留下的黑岩，打造了一柄刺枪。枪尖锋寒，凛如冰，坚如岩。但他并不倚枪行遍天下；从此寒家锻炉的烟火直至今日，也不曾熄灭。,"['雾海云间的铅丹*3', '雾海云间的汞丹*9', '雾海云间的金丹*9', '雾海云间的转还*4', '雾虚花粉*15', '雾虚草囊*18', '雾虚灯芯*27', '新兵的徽记*10', '士官的徽记*15', '尉官的徽记*18', '精锻用魔矿*605']",https://uploadstatic.mihoyo.com/ys-obc/2020/03/22/75833613/b4e0f6c437598a77e7660997daf5260a_7404028432687991788.png,阶乘胜追击 , 精炼(1/2/3/4/5) 击败敌人后，攻击力提升(12%/15%/18%/21%/24%)，持续30秒。该效果至多叠加三层，每层持续时间独立。以黑岩与陨铁铸成的兵器，玄锋清凛的光泽中仿佛隐隐可见血色。 ,长柄武器,四星,暴击伤害、攻击力,商城兑换,weapon
西风大剑,174, 西风骑士团的重型仪式剑，通常需要经过团长和教会的双重通过才能获批配发。通过解析蒙德远古的圣遗物，蒙德的工匠学者在元素亲和的道路上取得了成果。这把厚重的大剑因此不但是西风骑士的殊荣，也是蒙德卫士勤奋和技术的结晶。通过它能轻易导出元素力量。谨记，破坏是为了守护必须守护的。虽然如今流传下来的，幼狼鲁斯坦创立的西风剑术，是以单手持握的长剑施展，但这剑术仍有失传的另一脉，即是光之狮艾伦德林同时使用长剑与大剑的战舞。因为对力量的要求过高，仅有天资极强者才可以施展。因此传承的脉络断绝了。艾伦德林与鲁斯坦是自幼一同长大的玩伴，分别出生自正统的骑士家族与佃户。成为英雄的梦想让他们成为了朋友，之后则是同僚，最后分别成为团长与副手。作为大团长，艾伦德林未曾获授神之眼。他的力量来自天资与极为刻苦的训练。他为自己的力量感到骄傲。整个骑士团乃至整个蒙德也为这样的团长感到骄傲。在鲁斯坦殒命后，艾伦德林不再展示自己的力量，不再以挑战凶暴魔兽为荣耀。,"['狮牙斗士的枷锁*3', '狮牙斗士的铁链*9', '狮牙斗士的镣铐*9', '狮牙斗士的理想*4', '混沌装置*15', '混沌回路*18', '混沌炉心*27', '新兵的徽记*10', '士官的徽记*15', '尉官的徽记*18', '精锻用魔矿*605']",https://uploadstatic.mihoyo.com/ys-obc/2020/03/22/75833613/60cca5eecb54f5df17e9aadae0f20116_5349417019139180282.png,阶顺风而行 , 精炼(1/2/3/4/5) 攻击造成暴击时，有(60%/70%/80%/90%/100%)的几率产生少量元素微粒，能为角色恢复6点元素能量。该效果每(12/10.5/9/7.5/6)秒只能触发一次。西风骑士团的重型仪式剑。能轻易导出元素力量，具有卓越的破坏力。 ,双手剑,四星,元素充能效率,祈愿,weapon
