id,name,nickname,title,gender,rarity,pool,constellation,specialCuisine,equipDate,tag,intro,label
22,迪奥娜·凯茨莱茵,迪奥娜/猫猫,猫尾特调,女,4星,常驻UP,小猫座,绝对不是下酒菜,2020年11月11日,减攻、治疗、护盾、移速提升、元素附着、精通加成、体力消耗降低、烹饪、自身伤害提升,"遗传了稀薄的「非人」血统的少女,「猫尾酒馆」的超人气调酒师。猫耳娘，黑暗酿酒师",character
23,阿贾克斯,公子/达达利亚,公子,男,5星,限定UP,鲸天座,极致一钓,2020年11月11日,天赋提升,愚人众执行官第十一位，「公子」，其战绩威名远扬。,character
24,辛焱,N/A,燥热旋律,女,4星,常驻UP,红檀四弦座,摇·滚·鸡！,2020年12月01日,护盾、减抗、伤害提升、元素附着、烹饪,璃月港唯一的摇滚歌手，以音乐和热情歌颂着对「成见」的反抗。,character
25,阿贝多,N/A,白垩之子,男,5星,限定UP,白垩之子座,「林之梦」,2020年12月23日,伤害提升、精通加成、炼金返还、自身伤害提升,西风骑士团首席炼金术师兼调查小队队长，被称作「白垩之子」的天才,character
26,摩拉克斯,钟离/钟老爷子/帝君/岩王帝君,尘世闲游,男,5星,限定UP,岩王帝君座,文火慢炖腌笃鲜,2020年12月01日,治疗、控制、减抗、护盾、护盾强效、锻造返还、自身伤害提升、自身抗打断,"被「往生堂」请来的神秘客人,知识渊博,对各种事物都颇有见地。",character
27,魈,,护法夜叉,男,5星,限定UP,金翅鹏王座,「美梦」,2021年02月03日,位移、攀爬消耗减少、自身伤害提升、下落免疫,守护璃月的仙人，「夜叉」。美号「降魔大圣」，妙称「护法夜叉大将」。,character
28,甘雨,椰羊/王小美,循循守月,女,5星,限定UP,仙麟座,盛世太平,2021年01月12日,嘲讽、减抗、伤害提升、锻造返还,月海亭的秘书，体内流淌着仙兽「麒麟」的血脉。,character
29,罗莎莉亚,,棘冠恩典,女,4星,常驻UP,荆冠座,审判的晚宴,2021年04月06日,暴击提升、移速提升、移速提升（天赋）,除了打扮哪里都不像神职人员的修女。冷淡的言行中透着锐利。总是单独行动。,character
30,烟绯,N/A,智明无邪,女,4星,常驻UP,法兽座,「自有方圆」,2021年04月28日,自身体力消耗降低、自身伤害提升、特产探索、自身抗打断、护盾,活跃在璃月港的知名律师咨询师，混有仙兽血脉的精明少女。,character
31,枫原万叶,万叶,红叶逐荒波,男,5星,限定UP,枫红座,雨奇晴好,2021年06月29日,伤害提升、聚怪、位移、冲刺消耗减少、精通加成,来自稻妻的浪人武士，如今栖身于璃月船队「南十字」中。性情温和而洒脱，心中埋藏着许多往事。,character
32,胡桃,N/A,雪霁梅香,女,5星,限定UP,引蝶座,幽幽大行军,2021年03月02日,自身附魔、自身治疗、暴击提升、自身伤害提升、烹饪、自身体力消耗降低、自身抗打断、自身抗性提高,「往生堂」七十七代堂主，年纪轻轻就已主掌璃月的葬仪事务,character
33,优菈·劳伦斯,优菈,浪沫的旋舞,女,5星,限定UP,浪沫座,骇浪派,2021年05月18日,减抗、炼金返还、自身伤害提升、自身抗打断、物理输出,古老家族出身的「浪花骑士」，西风骑士团游击小队队长。身为旧贵族后裔却加入了堪称死对头的西风骑士团，该事件至今仍是蒙德一大谜团。,character
34,神里绫华,凌华/神里大小姐,白鹭霜华,女,5星,限定UP,雪鹤座,「红炉一点雪」,2021年07月21日,减防、炼金返还、快速移动、自身附魔、自身伤害提升,稻妻「社奉行」神里家的大小姐。端庄而文雅，聪慧又坚韧。,character
35,九条裟罗,九条,黑羽鸣镝,女,4星,常驻UP,羽团扇座,永恒的信仰,2021年09月01日,加攻、爆伤提升、能量回复、派遣,「天领奉行」的大将，杀伐果断，骁勇善战。,character
36,长野原宵宫,宵宫,琉焰华舞,女,5星,限定UP,琉金座,夏祭游鱼,2021年08月10日,加攻、家园制造相关、自身附魔、自身伤害提升,「长野原烟花店」店长，「夏祭的女王」，将人们的愿望寄托于烟花中的能工巧匠。,character
37,珊瑚宫心海,心海,真珠之智,女,5星,限定UP,眠龙座,「奇策」,2021年09月21日,治疗、游泳消耗减少,海衹岛的「现人神巫女」，统管海祇岛各项事宜的少女。,character
38,托马,N/A,渡来介者,男,4星,常驻UP,赤楯座,N/A,2021年11月02日,N/A,N/A,character
39,早柚,N/A,忍里之貉,女,4星,常驻UP,小貉座,头晕回避术·改,2021年08月10日,治疗、生物亲和、高速移动,属于「终末番」的忍者。身形小巧，总像没睡饱一样。,character
40,巴尔泽布,雷电影/影/雷电将军/雷神,一心净土,女,5星,限定UP,天下人座,N/A,2021年09月01日,加攻、伤害提升、能量回复、冷却缩减、突破返还、自身抗打断、自身伤害提升、感电免疫,其身为御建鸣神主尊大御所大人，许稻妻人民以亘古不变的「永恒」。,character
41,五郎,N/A,戎犬锵锵,男,4星,常驻UP,柴犬座,N/A,2021年11月24日,N/A,N/A,character
